PC       	Instr    	Reg 	Register Value
------------------------------------------------------
xxxxxxxx 	xxxxxxxx 	  2 	xxxxxxxx
00000000 	e2022000 	  2 	00000000
00000004 	e3823000 	  2 	00000000
00000008 	e3834005 	  2 	00000000
0000000c 	e0822004 	  2 	00000000
00000010 	e2544001 	  2 	00000005
00000014 	1afffffc 	  2 	00000005
0000000c 	e0822004 	  2 	00000005
00000010 	e2544001 	  2 	00000009
00000014 	1afffffc 	  2 	00000009
0000000c 	e0822004 	  2 	00000009
00000010 	e2544001 	  2 	0000000c
00000014 	1afffffc 	  2 	0000000c
0000000c 	e0822004 	  2 	0000000c
00000010 	e2544001 	  2 	0000000e
00000014 	1afffffc 	  2 	0000000e
0000000c 	e0822004 	  2 	0000000e
00000010 	e2544001 	  2 	0000000f
00000014 	1afffffc 	  2 	0000000f
00000018 	e5832000 	  2 	0000000f
0000001c 	e5935000 	  2 	0000000f
00000020 	eafffffe 	  2 	0000000f
